Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
turkish,audio_text,xgb_optuna,cv,1,0.68,0.8095238095238095,0.68,1.0,0.40476190476190477,0.0,0.7794117647058824,8,17,"[[0, 8], [0, 17]]",0,1,symmetric_merged_cv
d3tec,audio_text,qwen,cv,1,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.5476190476190477,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,logreg,cv,1,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.5,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_fixed,cv,1,0.6153846153846154,0.5454545454545454,0.6,0.5,0.606060606060606,0.6666666666666666,0.5952380952380952,7,6,"[[5, 2], [3, 3]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_optuna,cv,1,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.5714285714285714,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
androids_interview,audio_text,qwen,cv,1,0.9130434782608695,0.9166666666666666,1.0,0.8461538461538461,0.9128787878787878,0.9090909090909091,0.9923076923076923,10,13,"[[10, 0], [2, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_text,logreg,cv,1,0.9130434782608695,0.9166666666666666,1.0,0.8461538461538461,0.9128787878787878,0.9090909090909091,1.0,10,13,"[[10, 0], [2, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_fixed,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,13,"[[10, 0], [0, 13]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_optuna,cv,1,0.9565217391304348,0.9600000000000001,1.0,0.9230769230769231,0.9561904761904763,0.9523809523809523,1.0,10,13,"[[10, 0], [1, 12]]",0,1,symmetric_merged_cv
daic,audio_text,qwen,cv,2,0.7142857142857143,0.5,0.5,0.5,0.6500000000000001,0.8000000000000002,0.76875,20,8,"[[16, 4], [4, 4]]",0,1,symmetric_merged_cv
daic,audio_text,logreg,cv,2,0.7142857142857143,0.5555555555555556,0.5,0.625,0.672514619883041,0.7894736842105262,0.73125,20,8,"[[15, 5], [3, 5]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_fixed,cv,2,0.7857142857142857,0.625,0.625,0.625,0.7375,0.85,0.76875,20,8,"[[17, 3], [3, 5]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_optuna,cv,2,0.75,0.5882352941176471,0.5555555555555556,0.625,0.7043740573152337,0.8205128205128205,0.79375,20,8,"[[16, 4], [3, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,qwen,cv,2,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_text,logreg,cv,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_fixed,cv,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_optuna,cv,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
turkish,audio_text,qwen,cv,2,0.6666666666666666,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.5555555555555556,0.3333333333333333,0.6638655462184874,7,17,"[[2, 5], [3, 14]]",0,1,symmetric_merged_cv
turkish,audio_text,logreg,cv,2,0.625,0.7567567567567567,0.7,0.8235294117647058,0.4692874692874692,0.18181818181818182,0.4957983193277311,7,17,"[[1, 6], [3, 14]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_fixed,cv,2,0.6666666666666666,0.7894736842105262,0.7142857142857143,0.8823529411764706,0.49473684210526314,0.2,0.5798319327731093,7,17,"[[1, 6], [2, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_optuna,cv,2,0.7083333333333334,0.8108108108108107,0.75,0.8823529411764706,0.5872235872235871,0.36363636363636365,0.5210084033613446,7,17,"[[2, 5], [2, 15]]",0,1,symmetric_merged_cv
d3tec,audio_text,qwen,cv,2,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.47619047619047616,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,logreg,cv,2,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.47619047619047616,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_fixed,cv,2,0.6153846153846154,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5751633986928104,0.7058823529411764,0.5476190476190477,7,6,"[[6, 1], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_optuna,cv,2,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.5,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
androids_interview,audio_text,qwen,cv,2,0.9130434782608695,0.888888888888889,1.0,0.8,0.9087301587301588,0.9285714285714286,0.9230769230769231,13,10,"[[13, 0], [2, 8]]",0,1,symmetric_merged_cv
androids_interview,audio_text,logreg,cv,2,0.8695652173913043,0.8571428571428572,0.8181818181818182,0.9,0.8685714285714285,0.8799999999999999,0.9615384615384616,13,10,"[[11, 2], [1, 9]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_fixed,cv,2,0.8695652173913043,0.8571428571428572,0.8181818181818182,0.9,0.8685714285714285,0.8799999999999999,0.9615384615384616,13,10,"[[11, 2], [1, 9]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_optuna,cv,2,0.9130434782608695,0.9,0.9,0.9,0.9115384615384616,0.9230769230769231,0.9769230769230769,13,10,"[[12, 1], [1, 9]]",0,1,symmetric_merged_cv
daic,audio_text,qwen,cv,3,0.7142857142857143,0.2,0.5,0.125,0.5130434782608696,0.8260869565217392,0.73125,20,8,"[[19, 1], [7, 1]]",0,1,symmetric_merged_cv
daic,audio_text,logreg,cv,3,0.7142857142857143,0.3333333333333333,0.5,0.25,0.5757575757575758,0.8181818181818182,0.775,20,8,"[[18, 2], [6, 2]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_fixed,cv,3,0.7857142857142857,0.5,0.75,0.375,0.6818181818181818,0.8636363636363635,0.74375,20,8,"[[19, 1], [5, 3]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_optuna,cv,3,0.7857142857142857,0.5,0.75,0.375,0.6818181818181818,0.8636363636363635,0.775,20,8,"[[19, 1], [5, 3]]",0,1,symmetric_merged_cv
cmdc,audio_text,qwen,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,logreg,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_fixed,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_optuna,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
turkish,audio_text,qwen,cv,3,0.6956521739130435,0.8108108108108109,0.7142857142857143,0.9375,0.5165165165165165,0.22222222222222224,0.7321428571428571,7,16,"[[1, 6], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,logreg,cv,3,0.6956521739130435,0.8108108108108109,0.7142857142857143,0.9375,0.5165165165165165,0.22222222222222224,0.625,7,16,"[[1, 6], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_fixed,cv,3,0.6521739130434783,0.7894736842105263,0.6818181818181818,0.9375,0.39473684210526316,0.0,0.7857142857142857,7,16,"[[0, 7], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_optuna,cv,3,0.6521739130434783,0.7894736842105263,0.6818181818181818,0.9375,0.39473684210526316,0.0,0.7410714285714286,7,16,"[[0, 7], [1, 15]]",0,1,symmetric_merged_cv
d3tec,audio_text,qwen,cv,3,0.5,0.4,0.5,0.3333333333333333,0.48571428571428577,0.5714285714285715,0.3611111111111111,6,6,"[[4, 2], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,logreg,cv,3,0.5,0.25,0.5,0.16666666666666666,0.4375,0.625,0.4166666666666667,6,6,"[[5, 1], [5, 1]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_fixed,cv,3,0.5833333333333334,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.4722222222222222,6,6,"[[5, 1], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_optuna,cv,3,0.5,0.25,0.5,0.16666666666666666,0.4375,0.625,0.3888888888888889,6,6,"[[5, 1], [5, 1]]",0,1,symmetric_merged_cv
androids_interview,audio_text,qwen,cv,3,0.782608695652174,0.8387096774193548,1.0,0.7222222222222222,0.7526881720430108,0.6666666666666666,0.9222222222222223,5,18,"[[5, 0], [5, 13]]",0,1,symmetric_merged_cv
androids_interview,audio_text,logreg,cv,3,0.7391304347826086,0.8,1.0,0.6666666666666666,0.7125,0.625,0.8888888888888888,5,18,"[[5, 0], [6, 12]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_fixed,cv,3,0.782608695652174,0.8387096774193548,1.0,0.7222222222222222,0.7526881720430108,0.6666666666666666,0.8666666666666667,5,18,"[[5, 0], [5, 13]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_optuna,cv,3,0.782608695652174,0.8387096774193548,1.0,0.7222222222222222,0.7526881720430108,0.6666666666666666,0.9222222222222223,5,18,"[[5, 0], [5, 13]]",0,1,symmetric_merged_cv
daic,audio_text,qwen,cv,4,0.7142857142857143,0.5,0.5,0.5,0.6500000000000001,0.8000000000000002,0.640625,20,8,"[[16, 4], [4, 4]]",0,1,symmetric_merged_cv
daic,audio_text,logreg,cv,4,0.8214285714285714,0.5454545454545454,1.0,0.375,0.7171717171717171,0.888888888888889,0.59375,20,8,"[[20, 0], [5, 3]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_fixed,cv,4,0.7857142857142857,0.5,0.75,0.375,0.6818181818181818,0.8636363636363635,0.65625,20,8,"[[19, 1], [5, 3]]",0,1,symmetric_merged_cv
daic,audio_text,xgb_optuna,cv,4,0.7857142857142857,0.5,0.75,0.375,0.6818181818181818,0.8636363636363635,0.69375,20,8,"[[19, 1], [5, 3]]",0,1,symmetric_merged_cv
cmdc,audio_text,qwen,cv,4,0.8666666666666667,0.7499999999999999,1.0,0.6,0.8295454545454545,0.9090909090909091,1.0,10,5,"[[10, 0], [2, 3]]",0,1,symmetric_merged_cv
cmdc,audio_text,logreg,cv,4,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_fixed,cv,4,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,0.98,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_text,xgb_optuna,cv,4,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,0.98,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
turkish,audio_text,qwen,cv,4,0.5652173913043478,0.6875,0.6875,0.6875,0.48660714285714285,0.2857142857142857,0.6071428571428571,7,16,"[[2, 5], [5, 11]]",0,1,symmetric_merged_cv
turkish,audio_text,logreg,cv,4,0.6521739130434783,0.7894736842105263,0.6818181818181818,0.9375,0.39473684210526316,0.0,0.41964285714285715,7,16,"[[0, 7], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_fixed,cv,4,0.6956521739130435,0.8108108108108109,0.7142857142857143,0.9375,0.5165165165165165,0.22222222222222224,0.5803571428571429,7,16,"[[1, 6], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_text,xgb_optuna,cv,4,0.6956521739130435,0.8108108108108109,0.7142857142857143,0.9375,0.5165165165165165,0.22222222222222224,0.6339285714285714,7,16,"[[1, 6], [1, 15]]",0,1,symmetric_merged_cv
d3tec,audio_text,qwen,cv,4,0.6363636363636364,0.6,0.6,0.6,0.6333333333333333,0.6666666666666666,0.6666666666666666,6,5,"[[4, 2], [2, 3]]",0,1,symmetric_merged_cv
d3tec,audio_text,logreg,cv,4,0.5454545454545454,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5454545454545454,0.6,6,5,"[[3, 3], [2, 3]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_fixed,cv,4,0.45454545454545453,0.5,0.42857142857142855,0.6,0.45,0.4,0.7,6,5,"[[2, 4], [2, 3]]",0,1,symmetric_merged_cv
d3tec,audio_text,xgb_optuna,cv,4,0.5454545454545454,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5454545454545454,0.6666666666666666,6,5,"[[3, 3], [2, 3]]",0,1,symmetric_merged_cv
androids_interview,audio_text,qwen,cv,4,0.8260869565217391,0.7999999999999999,0.8888888888888888,0.7272727272727273,0.823076923076923,0.8461538461538461,0.9696969696969697,12,11,"[[11, 1], [3, 8]]",0,1,symmetric_merged_cv
androids_interview,audio_text,logreg,cv,4,0.8260869565217391,0.7999999999999999,0.8888888888888888,0.7272727272727273,0.823076923076923,0.8461538461538461,0.9393939393939394,12,11,"[[11, 1], [3, 8]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_fixed,cv,4,0.9130434782608695,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9128787878787878,0.9166666666666666,0.9393939393939394,12,11,"[[11, 1], [1, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_text,xgb_optuna,cv,4,0.9130434782608695,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9128787878787878,0.9166666666666666,0.9393939393939394,12,11,"[[11, 1], [1, 10]]",0,1,symmetric_merged_cv
daic,audio_only,qwen,cv,0,0.7586206896551724,0.631578947368421,0.6,0.6666666666666666,0.7260458839406208,0.8205128205128205,0.8694444444444445,20,9,"[[16, 4], [3, 6]]",0,1,symmetric_merged_cv
daic,audio_only,logreg,cv,0,0.8275862068965517,0.7368421052631577,0.7,0.7777777777777778,0.8043184885290148,0.8717948717948718,0.8444444444444444,20,9,"[[17, 3], [2, 7]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_fixed,cv,0,0.7586206896551724,0.631578947368421,0.6,0.6666666666666666,0.7260458839406208,0.8205128205128205,0.8722222222222222,20,9,"[[16, 4], [3, 6]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_optuna,cv,0,0.8275862068965517,0.7058823529411765,0.75,0.6666666666666666,0.7919655667144907,0.8780487804878048,0.8611111111111112,20,9,"[[18, 2], [3, 6]]",0,1,symmetric_merged_cv
cmdc,audio_only,qwen,cv,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,6,"[[11, 0], [0, 6]]",0,1,symmetric_merged_cv
cmdc,audio_only,logreg,cv,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,6,"[[11, 0], [0, 6]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_fixed,cv,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,6,"[[11, 0], [0, 6]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_optuna,cv,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,6,"[[11, 0], [0, 6]]",0,1,symmetric_merged_cv
turkish,audio_only,qwen,cv,0,0.72,0.8292682926829268,0.7083333333333334,1.0,0.5257452574525745,0.2222222222222222,0.6764705882352942,8,17,"[[1, 7], [0, 17]]",0,1,symmetric_merged_cv
turkish,audio_only,logreg,cv,0,0.68,0.7999999999999999,0.6956521739130435,0.9411764705882353,0.5,0.2,0.5073529411764706,8,17,"[[1, 7], [1, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_fixed,cv,0,0.64,0.7804878048780487,0.6666666666666666,0.9411764705882353,0.39024390243902435,0.0,0.6764705882352942,8,17,"[[0, 8], [1, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_optuna,cv,0,0.68,0.8095238095238095,0.68,1.0,0.40476190476190477,0.0,0.6323529411764706,8,17,"[[0, 8], [0, 17]]",0,1,symmetric_merged_cv
d3tec,audio_only,qwen,cv,0,0.8461538461538461,0.8571428571428571,0.75,1.0,0.8452380952380951,0.8333333333333333,0.9523809523809523,7,6,"[[5, 2], [0, 6]]",0,1,symmetric_merged_cv
d3tec,audio_only,logreg,cv,0,0.7692307692307693,0.7272727272727272,0.8,0.6666666666666666,0.7636363636363636,0.7999999999999999,0.8809523809523809,7,6,"[[6, 1], [2, 4]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_fixed,cv,0,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.8571428571428571,7,6,"[[5, 2], [1, 5]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_optuna,cv,0,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.8809523809523809,7,6,"[[5, 2], [1, 5]]",0,1,symmetric_merged_cv
androids_interview,audio_only,qwen,cv,0,0.875,0.8799999999999999,0.8461538461538461,0.9166666666666666,0.874782608695652,0.8695652173913043,0.9166666666666666,12,12,"[[10, 2], [1, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_only,logreg,cv,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9513888888888888,12,12,"[[10, 2], [2, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_fixed,cv,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,12,12,"[[11, 1], [1, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_optuna,cv,0,0.8333333333333334,0.8181818181818182,0.9,0.75,0.8321678321678322,0.8461538461538461,0.9583333333333334,12,12,"[[11, 1], [3, 9]]",0,1,symmetric_merged_cv
daic,audio_only,qwen,cv,1,0.6551724137931034,0.2857142857142857,0.4,0.2222222222222222,0.5292207792207793,0.7727272727272727,0.5666666666666667,20,9,"[[17, 3], [7, 2]]",0,1,symmetric_merged_cv
daic,audio_only,logreg,cv,1,0.6551724137931034,0.2857142857142857,0.4,0.2222222222222222,0.5292207792207793,0.7727272727272727,0.4111111111111111,20,9,"[[17, 3], [7, 2]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_fixed,cv,1,0.6551724137931034,0.2857142857142857,0.4,0.2222222222222222,0.5292207792207793,0.7727272727272727,0.6333333333333333,20,9,"[[17, 3], [7, 2]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_optuna,cv,1,0.6551724137931034,0.2857142857142857,0.4,0.2222222222222222,0.5292207792207793,0.7727272727272727,0.6166666666666667,20,9,"[[17, 3], [7, 2]]",0,1,symmetric_merged_cv
cmdc,audio_only,qwen,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,logreg,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_fixed,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_optuna,cv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,5,"[[11, 0], [0, 5]]",0,1,symmetric_merged_cv
turkish,audio_only,qwen,cv,1,0.68,0.7999999999999999,0.6956521739130435,0.9411764705882353,0.5,0.2,0.6544117647058824,8,17,"[[1, 7], [1, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,logreg,cv,1,0.68,0.8095238095238095,0.68,1.0,0.40476190476190477,0.0,0.5808823529411765,8,17,"[[0, 8], [0, 17]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_fixed,cv,1,0.64,0.7804878048780487,0.6666666666666666,0.9411764705882353,0.39024390243902435,0.0,0.7132352941176471,8,17,"[[0, 8], [1, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_optuna,cv,1,0.64,0.7804878048780487,0.6666666666666666,0.9411764705882353,0.39024390243902435,0.0,0.6470588235294118,8,17,"[[0, 8], [1, 16]]",0,1,symmetric_merged_cv
d3tec,audio_only,qwen,cv,1,0.6153846153846154,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6153846153846153,0.6428571428571429,7,6,"[[4, 3], [2, 4]]",0,1,symmetric_merged_cv
d3tec,audio_only,logreg,cv,1,0.46153846153846156,0.3636363636363636,0.4,0.3333333333333333,0.4484848484848485,0.5333333333333333,0.5952380952380952,7,6,"[[4, 3], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_fixed,cv,1,0.5384615384615384,0.5,0.5,0.5,0.5357142857142857,0.5714285714285714,0.5952380952380952,7,6,"[[4, 3], [3, 3]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_optuna,cv,1,0.6153846153846154,0.5454545454545454,0.6,0.5,0.606060606060606,0.6666666666666666,0.5476190476190477,7,6,"[[5, 2], [3, 3]]",0,1,symmetric_merged_cv
androids_interview,audio_only,qwen,cv,1,0.8695652173913043,0.8695652173913044,1.0,0.7692307692307693,0.8695652173913044,0.8695652173913044,1.0,10,13,"[[10, 0], [3, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,logreg,cv,1,0.8260869565217391,0.8181818181818181,1.0,0.6923076923076923,0.8257575757575757,0.8333333333333333,1.0,10,13,"[[10, 0], [4, 9]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_fixed,cv,1,0.9130434782608695,0.9166666666666666,1.0,0.8461538461538461,0.9128787878787878,0.9090909090909091,1.0,10,13,"[[10, 0], [2, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_optuna,cv,1,0.9130434782608695,0.9166666666666666,1.0,0.8461538461538461,0.9128787878787878,0.9090909090909091,1.0,10,13,"[[10, 0], [2, 11]]",0,1,symmetric_merged_cv
daic,audio_only,qwen,cv,2,0.8214285714285714,0.6666666666666666,0.7142857142857143,0.625,0.7723577235772356,0.8780487804878048,0.78125,20,8,"[[18, 2], [3, 5]]",0,1,symmetric_merged_cv
daic,audio_only,logreg,cv,2,0.8214285714285714,0.6666666666666666,0.7142857142857143,0.625,0.7723577235772356,0.8780487804878048,0.8625,20,8,"[[18, 2], [3, 5]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_fixed,cv,2,0.75,0.5333333333333333,0.5714285714285714,0.5,0.6813008130081302,0.8292682926829269,0.7625,20,8,"[[17, 3], [4, 4]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_optuna,cv,2,0.75,0.5882352941176471,0.5555555555555556,0.625,0.7043740573152337,0.8205128205128205,0.73125,20,8,"[[16, 4], [3, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,qwen,cv,2,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,0.98,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_only,logreg,cv,2,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,0.98,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_fixed,cv,2,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
